Marca temporal,¿Preferirías vivir de alquiler o compra?,¿Cuántos años tienes?,¿Cuál es tu género?,Selecciona los distritos dónde buscarías actualmente casa (se pueden marcar hasta 5 opciones):,¿En qué estado prefieres la vivienda? (puedes seleccionar varias opciones),¿Qué aspectos son para ti más importantes a la hora de buscar vivienda? (puedes marcar hasta 5 opciones),¿En qué planta te gustaría vivir?,¿Prefieres vivir solo o acompañado?,¿Cuántas habitaciones buscas?,¿Cuántos baños necesitas?,¿Cuánto dinero al mes estarías dispuesto a destinar (entre tú y las personas con las que vivirías para pagar la vivienda si decidieras convivir)?,"Si compraras una casa, ¿durante cuántos años estarías dispuesto a hipotecarte?",¿Cuántos m2 buscas?
10/01/2024 8:23:46,Compra,Entre 50 y 60,Femenino,Otro,En buen estado,"Terraza, Ascensor, Aire acondicionado, Exterior, Armarios empotrados, Jardín, Vivienda accesible",Casa/Chalet,Con mi familia,4 o más,3 o más,No lo tengo claro,menos de 20,más de 120 m2
10/01/2024 8:32:37,Compra,Entre 25 y 30,Femenino,Hortaleza,En buen estado,"Buen transporte público, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados, Vivienda accesible","Plantas intermedias, Ático, Casa/Chalet",Solo,2,1,600-800 €/mes,entre 20 y 25,"entre 50 m2 y 70 m2, entre 70 m2 y 90 m2"
10/01/2024 8:49:16,Compra,Entre 25 y 30,Femenino,Hortaleza,"En buen estado, Nueva","Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Vivienda accesible","Plantas intermedias, Ático",Con amigos,2,1,400-600 €/mes,menos de 20,entre 70 m2 y 90 m2
10/01/2024 8:51:28,Compra,Menos de 25,Femenino,"Carabanchel, Usera, Villaverde","A reformar, En buen estado","Buen transporte público, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Jardín","Bajo, Plantas intermedias, Ático",No lo tengo claro,2,"1, 2",800-1000 €/mes,entre 25 y 30,entre 50 m2 y 70 m2
10/01/2024 8:53:03,Compra,Entre 25 y 30,Femenino,"Centro, Retiro, B.Salamanca, Moncloa-Aravaca, Otro","En buen estado, Nueva","Terraza, Ascensor, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Plantas intermedias,Con mi pareja,3,2,1000-1500 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
10/01/2024 9:00:10,Compra,Entre 30 y 40,Masculino,Centro,A reformar,"Ascensor, Garaje, Exterior, Armarios empotrados",Plantas intermedias,Con amigos,"2, 3",1,800-1000 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
10/01/2024 9:35:57,Compra,Entre 50 y 60,Femenino,"B.Salamanca, Ciudad Lineal, Otro",En buen estado,"Buen transporte público, Terraza, Ascensor, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior, Armarios empotrados, Trastero, Vivienda accesible","Plantas intermedias, Casa/Chalet",Con mi pareja,2,2,1000-1500 €/mes,menos de 20,entre 90 m2 y 120 m2
10/01/2024 10:23:01,Compra,Entre 25 y 30,Masculino,Otro,En buen estado,"Buen transporte público, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados",Casa/Chalet,Con mi pareja,1,1,800-1000 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
10/01/2024 11:19:18,Compra,Entre 50 y 60,Femenino,"B.Salamanca, Fuencarral-El Pardo",En buen estado,"Buen transporte público, Ascensor, Piscina, Garaje, Aire acondicionado, Exterior, Jardín",Casa/Chalet,Con mi familia,4 o más,3 o más,1000-1500 €/mes,entre 20 y 25,más de 120 m2
10/01/2024 11:25:42,Compra,Entre 25 y 30,Femenino,"Retiro, B.Salamanca, Chamberí","En buen estado, Nueva","Ascensor, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático",Con mi familia,"3, 4 o más",3 o más,1500-2000 €/mes,entre 30 y 35,más de 120 m2
10/01/2024 12:07:29,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca","A reformar, En buen estado, Nueva","Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Trastero",Casa/Chalet,Con mi pareja,2,2,800-1000 €/mes,entre 20 y 25,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
10/01/2024 12:21:02,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamberí, Fuencarral-El Pardo, Moncloa-Aravaca",Nueva,"Buen transporte público, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior",Plantas intermedias,Con mi familia,3,2,1500-2000 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
10/01/2024 12:47:18,Compra,Entre 40 y 50,Femenino,Otro,"En buen estado, Nueva","Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados, Jardín","Bajo, Ático, Casa/Chalet",Solo,"2, 3",2,400-600 €/mes,entre 25 y 30,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
10/01/2024 12:49:54,Compra,Menos de 25,Masculino,"Tetuán, Carabanchel, Villa de Vallecas",A reformar,"Buen transporte público, Terraza, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático, Casa/Chalet",Con mi pareja,"2, 3",2,No lo tengo claro,entre 25 y 30,entre 70 m2 y 90 m2
10/01/2024 12:57:22,Compra,Entre 30 y 40,Masculino,"Chamberí, Latina, Carabanchel, Moratalaz, Barajas",A reformar,"Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Plantas intermedias,Con mi pareja,2,1,800-1000 €/mes,entre 30 y 35,entre 70 m2 y 90 m2
10/01/2024 13:28:20,Compra,Entre 30 y 40,Masculino,"Tetuán, Chamberí, Moratalaz","A reformar, En buen estado","Buen transporte público, Terraza, Ascensor","Plantas intermedias, Ático",Solo,2,1,600-800 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
10/01/2024 13:41:48,Compra,Entre 30 y 40,Masculino,"Centro, Arganzuela, Latina","A reformar, En buen estado, Nueva","Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Ático, Casa/Chalet",Con mi pareja,2,1,800-1000 €/mes,entre 25 y 30,"entre 90 m2 y 120 m2, más de 120 m2"
10/01/2024 14:45:35,Compra,Entre 25 y 30,Masculino,"Centro, Retiro, Chamberí, Latina, Chamartín",En buen estado,"Terraza, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado",Plantas intermedias,Con mi pareja,2,1,1000-1500 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
10/01/2024 14:58:09,Compra,Entre 40 y 50,Femenino,"Chamberí, Moncloa-Aravaca",En buen estado,"Terraza, Ascensor, Piscina, Portero, Exterior",Plantas intermedias,Con mi familia,3,2,800-1000 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
10/01/2024 15:22:00,Compra,Más de 60,Masculino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca",Nueva,Exterior,"Plantas intermedias, Casa/Chalet",Con mi familia,3,2,No lo tengo claro,No lo tengo claro,más de 120 m2
10/01/2024 17:44:06,Compra,Entre 25 y 30,Femenino,"Centro, Villaverde, Villa de Vallecas, San Blás-Canillejas","En buen estado, Nueva","Buen transporte público, Terraza, Piscina, Garaje, Aire acondicionado",Plantas intermedias,Con mi pareja,3,1,1500-2000 €/mes,entre 30 y 35,entre 70 m2 y 90 m2
10/01/2024 17:46:31,Compra,Entre 50 y 60,Femenino,"Retiro, B.Salamanca",Nueva,"Buen transporte público, Terraza, Ascensor, Piscina, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior, Armarios empotrados, Jardín, Trastero",Plantas intermedias,Con mi familia,2,2,1000-1500 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
10/01/2024 17:56:05,Compra,Entre 30 y 40,Femenino,"Chamberí, Fuencarral-El Pardo, Moncloa-Aravaca","A reformar, En buen estado","Buen transporte público, Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Plantas intermedias,Con mi pareja,"2, 3",2,1000-1500 €/mes,No lo tengo claro,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
10/01/2024 19:15:40,Compra,Entre 40 y 50,Femenino,"Retiro, B.Salamanca",En buen estado,"Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados","Bajo, Plantas intermedias, Casa/Chalet",Con mi familia,4 o más,3 o más,1500-2000 €/mes,entre 30 y 35,más de 120 m2
10/01/2024 20:58:03,Compra,Entre 30 y 40,Femenino,"Moratalaz, Ciudad Lineal, Hortaleza, San Blás-Canillejas, Chamartín",En buen estado,"Buen transporte público, Terraza, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Plantas intermedias,Solo,2,2,400-600 €/mes,entre 25 y 30,entre 70 m2 y 90 m2
10/01/2024 21:26:59,Compra,Entre 30 y 40,Femenino,"Arganzuela, Carabanchel, Ciudad Lineal",Nueva,"Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior","Plantas intermedias, Ático",Con mi pareja,3,2,800-1000 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
10/01/2024 23:57:38,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamberí, Ciudad Lineal, Chamartín","A reformar, En buen estado","Terraza, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático",Con mi pareja,"2, 3",2,1000-1500 €/mes,entre 25 y 30,"entre 90 m2 y 120 m2, más de 120 m2"
11/01/2024 2:26:05,,,,,,,,,,,,,
11/01/2024 7:52:43,Compra,Entre 30 y 40,Masculino,Otro,A reformar,"Ascensor, Piscina, Garaje, Exterior, Trastero",Plantas intermedias,Con mi familia,4 o más,2,1000-1500 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
11/01/2024 9:09:58,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamartín",A reformar,"Terraza, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Plantas intermedias,Con mi pareja,3,2,1000-1500 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
11/01/2024 9:42:15,Compra,Entre 25 y 30,Femenino,"Centro, Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca","En buen estado, Nueva","Ascensor, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior","Plantas intermedias, Ático",Con mi pareja,2,1,1000-1500 €/mes,entre 30 y 35,entre 70 m2 y 90 m2
11/01/2024 9:48:23,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca, Chamartín",A reformar,"Terraza, Garaje, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Ático,Con mi pareja,3,2,1500-2000 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
11/01/2024 9:55:13,Compra,,Femenino,"Arganzuela, Retiro, Fuencarral-El Pardo, Ciudad Lineal, Chamartín","A reformar, En buen estado, Nueva","Buen transporte público, Terraza, Ascensor, Piscina, Garaje","Plantas intermedias, Ático",Con mi familia,"3, 4 o más",2,1500-2000 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
11/01/2024 9:56:32,Compra,Entre 40 y 50,Femenino,"Retiro, B.Salamanca, Chamberí, Latina, Chamartín",En buen estado,"Buen transporte público, Ascensor, Piscina, Garaje",Plantas intermedias,Con mi familia,4 o más,2,1000-1500 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
11/01/2024 10:46:23,Compra,Entre 30 y 40,Masculino,"B.Salamanca, Chamberí, Chamartín",A reformar,"Ascensor, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior, Armarios empotrados",Plantas intermedias,Con mi pareja,"2, 3",2,1000-1500 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
11/01/2024 10:50:59,Compra,Entre 25 y 30,Masculino,"Retiro, B.Salamanca, Tetuán, Chamberí, Fuencarral-El Pardo, Hortaleza, Chamartín","En buen estado, Nueva","Ascensor, Garaje, Exterior, Trastero","Plantas intermedias, Ático, Casa/Chalet",Con mi familia,"3, 4 o más","2, 3 o más",1500-2000 €/mes,entre 30 y 35,"entre 90 m2 y 120 m2, más de 120 m2"
11/01/2024 11:52:40,Compra,Entre 30 y 40,Femenino,"Retiro, B.Salamanca, Chamberí, Fuencarral-El Pardo, Moncloa-Aravaca","En buen estado, Nueva","Terraza, Piscina, Garaje, Exterior, Trastero","Ático, Casa/Chalet",Con mi familia,4 o más,3 o más,1000-1500 €/mes,entre 25 y 30,más de 120 m2
11/01/2024 12:00:05,Compra,Entre 30 y 40,Masculino,"Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca, Otro","En buen estado, Nueva","Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados","Ático, Casa/Chalet",Con mi familia,3,2,1500-2000 €/mes,entre 30 y 35,"entre 90 m2 y 120 m2, más de 120 m2"
11/01/2024 12:02:48,Compra,Entre 30 y 40,Masculino,"Chamberí, Moncloa-Aravaca, Chamartín",En buen estado,"Buen transporte público, Ascensor, Piscina, Garaje","Plantas intermedias, Ático",Con mi pareja,3,2,800-1000 €/mes,entre 25 y 30,entre 70 m2 y 90 m2
11/01/2024 12:40:48,Alquiler,Entre 25 y 30,Femenino,"Centro, Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca","En buen estado, Nueva","Buen transporte público, Ascensor, Portero, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Plantas intermedias,Solo,"Estudio, 1",1,600-800 €/mes,No lo tengo claro,<50 m2
11/01/2024 12:41:30,Compra,Entre 25 y 30,Masculino,"Arganzuela, Fuencarral-El Pardo, Moratalaz, Hortaleza, Chamartín","A reformar, En buen estado, Nueva","Buen transporte público, Terraza, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Armarios empotrados","Plantas intermedias, Ático, Casa/Chalet",Solo,2,1,1000-1500 €/mes,entre 25 y 30,entre 70 m2 y 90 m2
11/01/2024 13:24:27,Compra,Entre 25 y 30,Masculino,"Retiro, B.Salamanca, Chamberí, Otro",En buen estado,"Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Ático, Casa/Chalet",Con mi familia,"2, 3",2,1500-2000 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
11/01/2024 13:32:05,Compra,Entre 25 y 30,Masculino,"Chamberí, Fuencarral-El Pardo, Moncloa-Aravaca, Barajas, Chamartín","A reformar, Nueva","Terraza, Piscina, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Plantas intermedias,Con mi familia,"3, 4 o más",2,1000-1500 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
11/01/2024 13:38:08,Compra,Entre 30 y 40,Masculino,"Centro, Otro","En buen estado, Nueva","Buen transporte público, Ascensor, Garaje, Aire acondicionado, Trastero",Plantas intermedias,Con mi familia,"3, 4 o más",2,800-1000 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
11/01/2024 13:48:01,Compra,Menos de 25,Femenino,"Tetuán, Fuencarral-El Pardo, Vicálvaro, Barajas, Chamartín","A reformar, Nueva","Buen transporte público, Terraza, Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Ático, Casa/Chalet",Con mi pareja,3,2,1500-2000 €/mes,menos de 20,entre 90 m2 y 120 m2
11/01/2024 14:11:58,No lo tengo claro,Entre 25 y 30,Masculino,"Centro, Arganzuela, Retiro, B.Salamanca, Chamberí",En buen estado,"Buen transporte público, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior, Armarios empotrados","Plantas intermedias, Casa/Chalet",Con mi familia,3,2,1500-2000 €/mes,entre 20 y 25,entre 90 m2 y 120 m2
11/01/2024 14:59:46,Compra,Entre 25 y 30,Femenino,Otro,Nueva,"Buen transporte público, Terraza, Piscina, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Jardín, Trastero","Bajo, Ático, Casa/Chalet",Con mi pareja,3,2,600-800 €/mes,entre 30 y 35,entre 90 m2 y 120 m2
11/01/2024 15:03:20,Compra,Entre 30 y 40,Masculino,"Retiro, Chamberí, Fuencarral-El Pardo, Moncloa-Aravaca, Chamartín","A reformar, En buen estado, Nueva","Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Plantas intermedias, Ático, Casa/Chalet",Con mi pareja,"2, 3","1, 2",800-1000 €/mes,entre 25 y 30,entre 90 m2 y 120 m2
11/01/2024 15:53:46,Compra,Entre 50 y 60,Masculino,"Moncloa-Aravaca, Ciudad Lineal","En buen estado, Nueva","Buen transporte público, Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Casa/Chalet,Con mi familia,3,2,800-1000 €/mes,menos de 20,entre 90 m2 y 120 m2
11/01/2024 16:13:50,Compra,Entre 25 y 30,Femenino,"Retiro, B.Salamanca, Moncloa-Aravaca, Otro",Nueva,"Terraza, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior, Jardín","Ático, Casa/Chalet",Con mi pareja,"3, 4 o más","2, 3 o más",1000-1500 €/mes,entre 25 y 30,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
11/01/2024 16:36:39,Compra,Entre 30 y 40,Masculino,"Centro, Retiro, B.Salamanca, Chamberí, Moncloa-Aravaca, Chamartín","En buen estado, Nueva","Buen transporte público, Terraza, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Ático, Casa/Chalet",Con mi pareja,2,2,1500-2000 €/mes,entre 25 y 30,entre 50 m2 y 70 m2
11/01/2024 17:22:17,Compra,Entre 30 y 40,Masculino,"Moratalaz, Ciudad Lineal, Hortaleza, Villa de Vallecas, Vicálvaro","A reformar, En buen estado","Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca","Plantas intermedias, Casa/Chalet",Con mi pareja,3,2,800-1000 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
11/01/2024 17:42:50,Compra,Entre 30 y 40,Masculino,Villaverde,"En buen estado, Nueva","Buen transporte público, Ascensor, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Ático, Casa/Chalet",Con mi familia,"3, 4 o más",2,600-800 €/mes,No lo tengo claro,"entre 70 m2 y 90 m2, entre 90 m2 y 120 m2"
11/01/2024 19:55:47,Compra,Entre 25 y 30,Masculino,"Fuencarral-El Pardo, Hortaleza, Chamartín","A reformar, En buen estado","Buen transporte público, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior","Plantas intermedias, Casa/Chalet",Con mi pareja,"2, 3",1,1000-1500 €/mes,entre 20 y 25,entre 70 m2 y 90 m2
11/01/2024 23:28:42,Compra,Entre 40 y 50,Femenino,Otro,"A reformar, Nueva","Buen transporte público, Piscina, Garaje, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Exterior",Casa/Chalet,Con mi familia,4 o más,3 o más,1500-2000 €/mes,entre 30 y 35,más de 120 m2
12/01/2024 4:28:55,,,,,,,,,,,,,
12/01/2024 9:06:20,Compra,Entre 25 y 30,Masculino,"Centro, Retiro, Chamberí","A reformar, En buen estado, Nueva","Buen transporte público, Terraza, Buenos servicios (supermercados, cafeterías, farmacia...) cerca",Ático,Con mi pareja,1,1,1000-1500 €/mes,entre 25 y 30,entre 70 m2 y 90 m2
12/01/2024 15:11:20,Compra,Menos de 25,Femenino,"Centro, Retiro, Moncloa-Aravaca, Otro",En buen estado,"Buen transporte público, Ascensor, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Vivienda accesible",Plantas intermedias,Con mi pareja,2,1,400-600 €/mes,menos de 20,"entre 50 m2 y 70 m2, entre 70 m2 y 90 m2"
12/01/2024 17:57:46,Compra,Entre 50 y 60,Femenino,Otro,En buen estado,"Piscina, Buenos servicios (supermercados, cafeterías, farmacia...) cerca, Aire acondicionado, Exterior, Jardín, Vivienda accesible",Bajo,Con mi familia,4 o más,3 o más,> 2000€/mes,entre 20 y 25,más de 120 m2
13/01/2024 4:15:06,,,,,,,,,,,,,